Public Law Title,FY,Amount,Deflator.Type,Source
Operation and Maintenance,1982,62469e6,Current,Table 6.8 DOD BA By Title
Procurement,1982,64462e6,Current,Table 6.8 DOD BA By Title
RDT&E,1982,2006e7,Current,Table 6.8 DOD BA By Title
Military Construction,1982,4916e6,Current,Table 6.8 DOD BA By Title
Family Housing,1982,2203e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1982,2494e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1982,-714e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1983,45688e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1983,16155e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1983,66544e6,Current,Table 6.8 DOD BA By Title
Procurement,1983,80355e6,Current,Table 6.8 DOD BA By Title
RDT&E,1983,22798e6,Current,Table 6.8 DOD BA By Title
Military Construction,1983,4512e6,Current,Table 6.8 DOD BA By Title
Family Housing,1983,2712e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1983,1075e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1983,-365e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1984,48363e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1984,16503e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1984,70953e6,Current,Table 6.8 DOD BA By Title
Procurement,1984,86161e6,Current,Table 6.8 DOD BA By Title
RDT&E,1984,26867e6,Current,Table 6.8 DOD BA By Title
Military Construction,1984,451e7,Current,Table 6.8 DOD BA By Title
Family Housing,1984,2669e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1984,2774e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1984,-65e7,Current,Table 6.8 DOD BA By Title
Military Personnel,1985,67773e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1985,0,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1985,77812e6,Current,Table 6.8 DOD BA By Title
Procurement,1985,96842e6,Current,Table 6.8 DOD BA By Title
RDT&E,1985,31327e6,Current,Table 6.8 DOD BA By Title
Military Construction,1985,5517e6,Current,Table 6.8 DOD BA By Title
Family Housing,1985,289e7,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1985,5088e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1985,-447e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1986,67794e6,Current,Table 6.8 DOD BA By Title
