Military.Department,FY,Account,Public.Law.Title,Amount,account.categories,Source_Data
Army,2012,Base,Procurement,19609000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2012,Overseas Contingency Ops,Procurement,5265000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2013,Base,Procurement,15692000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2013,Overseas Contingency Ops,Procurement,3154000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2013,Hurricane Sandy,Procurement,1000000,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2014,Base,Procurement,15134000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2014,Overseas Contingency Ops,Procurement,3027000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2014,Iron Dome,Procurement,0,other,"FY22 Green Book, tbl 2.1"
Army,2009,Base,RDT.E,12162000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2009,Recovery Act,RDT.E,75000000,other,"FY22 Green Book, tbl 2.1"
Army,2009,Global War on Terror,RDT.E,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,RDT.E,-135000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2010,Base,RDT.E,11424000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,RDT.E,139000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
