FY,Service,Active.or.Civilians,personnel
2015,Navy and Marine Corps,Civilians,199000
2015,Air Force,Civilians,166000
2015,Space Force,Civilians,0
2015,Defense Agencies,Civilians,187000
2016,Army,Active,475000
2016,Navy,Active,325000
2016,Marine Corps,Active,184000
2016,Air Force,Active,318000
2016,Space Force,Active,0
2016,Full Time Guard and Reserve,Active,76000
2016,Army,Civilians,195000
2016,Navy and Marine Corps,Civilians,204000
2016,Air Force,Civilians,167000
2016,Space Force,Civilians,0
2016,Defense Agencies,Civilians,189000
2017,Army,Active,476245
2017,Navy,Active,324000
2017,Marine Corps,Active,185000
2017,Air Force,Active,323000
2017,Space Force,Active,0
2017,Full Time Guard and Reserve,Active,75000
2017,Army,Civilians,191000
2017,Navy and Marine Corps,Civilians,206000
2017,Air Force,Civilians,167000
2017,Space Force,Civilians,0
2017,Defense Agencies,Civilians,191000
2018,Army,Active,476000
2018,Navy,Active,330000
2018,Marine Corps,Active,186000
2018,Air Force,Active,326000
2018,Space Force,Active,0
2018,Full Time Guard and Reserve,Active,79000
2018,Army,Civilians,189000
2018,Navy and Marine Corps,Civilians,209000
2018,Air Force,Civilians,170000
2018,Space Force,Civilians,0
