budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.16,current,Procurement,1981,10462000000
outlays,army,6.16,current,RDT.E,1981,3124000000
outlays,army,6.16,current,MILCON,1981,980000000
outlays,army,6.16,current,family.housing,1981,0
outlays,army,6.16,current,revolving.and.management,1981,34000000
outlays,army,6.16,constant,MILPERS,1981,56321000000
outlays,army,6.16,constant,O.M.,1981,41663000000
outlays,army,6.16,constant,Procurement,1981,25381000000
outlays,army,6.16,constant,RDT.E,1981,8003000000
outlays,army,6.16,constant,MILCON,1981,2450000000
outlays,army,6.16,constant,family.housing,1981,0
outlays,army,6.16,constant,revolving.and.management,1981,86000000
outlays,army,6.16,current,MILPERS,1982,16602000000
outlays,army,6.16,current,O.M.,1982,16769000000
outlays,army,6.16,current,Procurement,1982,13856000000
outlays,army,6.16,current,RDT.E,1982,3620000000
outlays,army,6.16,current,MILCON,1982,1075000000
outlays,army,6.16,current,family.housing,1982,0
outlays,army,6.16,current,revolving.and.management,1982,176000000
outlays,army,6.16,constant,MILPERS,1982,57219000000
outlays,army,6.16,constant,O.M.,1982,46054000000
outlays,army,6.16,constant,Procurement,1982,31747000000
outlays,army,6.16,constant,RDT.E,1982,8849000000
outlays,army,6.16,constant,MILCON,1982,2640000000
outlays,army,6.16,constant,family.housing,1982,0
outlays,army,6.16,constant,revolving.and.management,1982,413000000
outlays,army,6.16,current,MILPERS,1983,17515000000
outlays,army,6.16,current,O.M.,1983,18042000000
outlays,army,6.16,current,Procurement,1983,15682000000
outlays,army,6.16,current,RDT.E,1983,3891000000
outlays,army,6.16,current,MILCON,1983,973000000
outlays,army,6.16,current,family.housing,1983,1034000000
outlays,army,6.16,current,revolving.and.management,1983,221000000
outlays,army,6.16,constant,MILPERS,1983,57375000000
outlays,army,6.16,constant,O.M.,1983,47376000000
outlays,army,6.16,constant,Procurement,1983,34412000000
outlays,army,6.16,constant,RDT.E,1983,9169000000
outlays,army,6.16,constant,MILCON,1983,2389000000
outlays,army,6.16,constant,family.housing,1983,2341000000
outlays,army,6.16,constant,revolving.and.management,1983,498000000
outlays,army,6.16,current,MILPERS,1984,18517000000
outlays,army,6.16,current,O.M.,1984,19208000000
outlays,army,6.16,current,Procurement,1984,16731000000
outlays,army,6.16,current,RDT.E,1984,4192000000
outlays,army,6.16,current,MILCON,1984,1256000000
outlays,army,6.16,current,family.housing,1984,1223000000
outlays,army,6.16,current,revolving.and.management,1984,389000000
outlays,army,6.16,constant,MILPERS,1984,57985000000
outlays,army,6.16,constant,O.M.,1984,48876000000
outlays,army,6.16,constant,Procurement,1984,35529000000
outlays,army,6.16,constant,RDT.E,1984,9541000000
outlays,army,6.16,constant,MILCON,1984,2913000000
outlays,army,6.16,constant,family.housing,1984,2694000000
outlays,army,6.16,constant,revolving.and.management,1984,843000000
outlays,army,6.16,current,MILPERS,1985,26298000000
outlays,army,6.16,current,O.M.,1985,20825000000
outlays,army,6.16,current,Procurement,1985,18022000000
outlays,army,6.16,current,RDT.E,1985,4257000000
outlays,army,6.16,current,MILCON,1985,1675000000
outlays,army,6.16,current,family.housing,1985,1317000000
outlays,army,6.16,current,revolving.and.management,1985,366000000
outlays,army,6.16,constant,MILPERS,1985,73877000000
outlays,army,6.16,constant,O.M.,1985,51272000000
outlays,army,6.16,constant,Procurement,1985,37153000000
outlays,army,6.16,constant,RDT.E,1985,9479000000
outlays,army,6.16,constant,MILCON,1985,3674000000
outlays,army,6.16,constant,family.housing,1985,2809000000
outlays,army,6.16,constant,revolving.and.management,1985,769000000
outlays,army,6.16,current,MILPERS,1986,27665000000
outlays,army,6.16,current,O.M.,1986,21312000000
outlays,army,6.16,current,Procurement,1986,16978000000
outlays,army,6.16,current,RDT.E,1986,4537000000
outlays,army,6.16,current,MILCON,1986,1576000000
outlays,army,6.16,current,family.housing,1986,1328000000
outlays,army,6.16,current,revolving.and.management,1986,374000000
outlays,army,6.16,constant,MILPERS,1986,74727000000
outlays,army,6.16,constant,O.M.,1986,51167000000
outlays,army,6.16,constant,Procurement,1986,33931000000
outlays,army,6.16,constant,RDT.E,1986,9972000000
outlays,army,6.16,constant,MILCON,1986,3377000000
