source.table,fy,current.constant,usa.or.foreign,direct.indirect.hire,pay.type,amount
tbl_6-15,1985,constant,foreign,direct.hire,foreign.nationals.direct.hire,1216102000
tbl_6-15,1985,constant,foreign,indirect.hire,foreign.national.indirect.hire,4979752000
tbl_6-15,1986,constant,us,direct.hire,general.schedule,56283068000
tbl_6-15,1986,constant,us,direct.hire,wage.board,27860032000
tbl_6-15,1986,constant,foreign,direct.hire,foreign.nationals.direct.hire,1225926000
tbl_6-15,1986,constant,foreign,indirect.hire,foreign.national.indirect.hire,4820813000
tbl_6-15,1987,constant,us,direct.hire,general.schedule,57416500000
tbl_6-15,1987,constant,us,direct.hire,wage.board,26518955000
tbl_6-15,1987,constant,foreign,direct.hire,foreign.nationals.direct.hire,1261274000
tbl_6-15,1987,constant,foreign,indirect.hire,foreign.national.indirect.hire,4818368000
tbl_6-15,1988,constant,us,direct.hire,general.schedule,58319842000
tbl_6-15,1988,constant,us,direct.hire,wage.board,24730416000
tbl_6-15,1988,constant,foreign,direct.hire,foreign.nationals.direct.hire,1234879000
tbl_6-15,1988,constant,foreign,indirect.hire,foreign.national.indirect.hire,4718004000
tbl_6-15,1989,constant,us,direct.hire,general.schedule,58235709000
tbl_6-15,1989,constant,us,direct.hire,wage.board,23749248000
tbl_6-15,1989,constant,foreign,direct.hire,foreign.nationals.direct.hire,1214294000
tbl_6-15,1989,constant,foreign,indirect.hire,foreign.national.indirect.hire,4665426000
tbl_6-15,1990,constant,us,direct.hire,general.schedule,59782127000
tbl_6-15,1990,constant,us,direct.hire,wage.board,23164357000
tbl_6-15,1990,constant,foreign,direct.hire,foreign.nationals.direct.hire,1384080000
tbl_6-15,1990,constant,foreign,indirect.hire,foreign.national.indirect.hire,4306559000
tbl_6-15,1991,constant,us,direct.hire,general.schedule,60325377000
tbl_6-15,1991,constant,us,direct.hire,wage.board,22487466000
tbl_6-15,1991,constant,foreign,direct.hire,foreign.nationals.direct.hire,1300244000
tbl_6-15,1991,constant,foreign,indirect.hire,foreign.national.indirect.hire,3992626000
tbl_6-15,1992,constant,us,direct.hire,general.schedule,59928133000
tbl_6-15,1992,constant,us,direct.hire,wage.board,20788728000
