source.table,budget.type,deflator.type,military.dept,FY,amount
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1975,21644000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1975,27962000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1975,26024000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1975,10501000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1975,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1975,113142000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1975,137245000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1975,131171000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1975,48983000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1975,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1976,23759000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1976,31360000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1976,28395000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1976,12144000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1976,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1976,114305000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1976,139401000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1976,129984000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1976,51358000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1976,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1977,26703000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1977,36353000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1977,31145000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1977,13367000000
tbl.6.03.TOA.by.Public.Law,TOA,current,OCO.place.holder,1977,0
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1977,119625000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1977,150926000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1977,133626000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1977,53075000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,OCO.place.holder,1977,0
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1978,28950000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1978,39504000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1978,32877000000
