budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.22,current,RDT.E,1976,1842000000
outlays,army,6.22,current,MILCON,1976,915000000
outlays,army,6.22,current,family.housing,1976,0
outlays,army,6.22,current,revolving.and.management,1976,-54000000
outlays,army,6.22,current,trust.receipts.and.other,1976,-99000000
outlays,army,6.22,constant,MILPERS,1976,55941000000
outlays,army,6.22,constant,O.M.,1976,36239000000
outlays,army,6.22,constant,Procurement,1976,5628000000
outlays,army,6.22,constant,RDT.E,1976,7630000000
outlays,army,6.22,constant,MILCON,1976,3663000000
outlays,army,6.22,constant,family.housing,1976,0
outlays,army,6.22,constant,revolving.and.management,1976,-210000000
outlays,army,6.22,constant,trust.receipts.and.other,1976,-384000000
outlays,army,6.22,current,MILPERS,1977,9888000000
outlays,army,6.22,current,O.M.,1977,8637000000
outlays,army,6.22,current,Procurement,1977,2622000000
outlays,army,6.22,current,RDT.E,1977,2069000000
outlays,army,6.22,current,MILCON,1977,755000000
outlays,army,6.22,current,family.housing,1977,0
outlays,army,6.22,current,revolving.and.management,1977,15000000
outlays,army,6.22,current,trust.receipts.and.other,1977,-66000000
outlays,army,6.22,constant,MILPERS,1977,55147000000
outlays,army,6.22,constant,O.M.,1977,36394000000
outlays,army,6.22,constant,Procurement,1977,10369000000
outlays,army,6.22,constant,RDT.E,1977,7874000000
outlays,army,6.22,constant,MILCON,1977,2822000000
outlays,army,6.22,constant,family.housing,1977,0
outlays,army,6.22,constant,revolving.and.management,1977,55000000
outlays,army,6.22,constant,trust.receipts.and.other,1977,-239000000
outlays,army,6.22,current,MILPERS,1978,10450000000
outlays,army,6.22,current,O.M.,1978,9617000000
outlays,army,6.22,current,Procurement,1978,3224000000
outlays,army,6.22,current,RDT.E,1978,2342000000
outlays,army,6.22,current,MILCON,1978,737000000
outlays,army,6.22,current,family.housing,1978,0
outlays,army,6.22,current,revolving.and.management,1978,-181000000
outlays,army,6.22,current,trust.receipts.and.other,1978,-170000000
outlays,army,6.22,constant,MILPERS,1978,54469000000
outlays,army,6.22,constant,O.M.,1978,37303000000
outlays,army,6.22,constant,Procurement,1978,11936000000
outlays,army,6.22,constant,RDT.E,1978,8280000000
outlays,army,6.22,constant,MILCON,1978,2578000000
outlays,army,6.22,constant,family.housing,1978,0
outlays,army,6.22,constant,revolving.and.management,1978,-608000000
outlays,army,6.22,constant,trust.receipts.and.other,1978,-572000000
outlays,army,6.22,current,MILPERS,1979,10943000000
outlays,army,6.22,current,O.M.,1979,10365000000
outlays,army,6.22,current,Procurement,1979,4465000000
outlays,army,6.22,current,RDT.E,1979,2409000000
outlays,army,6.22,current,MILCON,1979,702000000
outlays,army,6.22,current,family.housing,1979,0
outlays,army,6.22,current,revolving.and.management,1979,109000000
outlays,army,6.22,current,trust.receipts.and.other,1979,-222000000
outlays,army,6.22,constant,MILPERS,1979,54078000000
outlays,army,6.22,constant,O.M.,1979,37899000000
outlays,army,6.22,constant,Procurement,1979,15076000000
outlays,army,6.22,constant,RDT.E,1979,7789000000
outlays,army,6.22,constant,MILCON,1979,2290000000
outlays,army,6.22,constant,family.housing,1979,0
outlays,army,6.22,constant,revolving.and.management,1979,336000000
outlays,army,6.22,constant,trust.receipts.and.other,1979,-685000000
outlays,army,6.22,current,MILPERS,1980,11988000000
outlays,army,6.22,current,O.M.,1980,11894000000
outlays,army,6.22,current,Procurement,1980,5423000000
outlays,army,6.22,current,RDT.E,1980,2707000000
outlays,army,6.22,current,MILCON,1980,955000000
outlays,army,6.22,current,family.housing,1980,0
outlays,army,6.22,current,revolving.and.management,1980,-54000000
outlays,army,6.22,current,trust.receipts.and.other,1980,-312000000
outlays,army,6.22,constant,MILPERS,1980,54767000000
outlays,army,6.22,constant,O.M.,1980,38880000000
outlays,army,6.22,constant,Procurement,1980,16375000000
outlays,army,6.22,constant,RDT.E,1980,7970000000
